14056758,88,62,64,50,61,97,78,36
17784112,41,61,73,98,32,88,92,82
16988653,55,88,50,54,54,76,42,13
13814146,37,75,77,89,35,83,58,64
12443804,63,72,100,74,61,97,52,58
12288227,65,90,83,82,89,77,63,99
15847673,39,88,75,66,46,92,34,48
17146942,55,81,99,79,72,83,69,38
14882881,63,67,82,51,88,78,73,80
17948984,66,82,78,79,79,85,72,37
18290535,60,73,50,72,59,81,44,88
14686642,70,88,83,78,38,76,43,75
10747866,46,59,55,69,77,91,39,72
15055937,46,61,50,60,63,95,55,20
19532501,27,87,86,84,85,88,42,66
10404238,68,73,74,99,74,90,64,62
18370195,80,90,82,83,75,72,43,33
18667670,37,85,81,100,77,83,90,85
15726706,92,65,95,62,46,98,64,59
12092578,10,85,62,56,95,78,83,93
13750575,26,67,68,62,86,100,68,61
11407165,33,94,71,75,48,79,72,62
12760889,95,78,52,53,86,83,87,28
10065107,58,64,62,97,95,77,85,49
10482817,46,90,87,54,80,73,67,33
16412690,30,84,63,69,93,81,73,93
12084114,62,53,59,64,61,86,69,96
10178047,89,84,56,65,46,88,67,92
19506052,49,54,84,90,47,93,91,12
16086282,80,71,84,79,71,97,67,78
